failure_taxonomy_id,source_table,benchmark_row_id,dataset_id,task_id,method_id,route_label,failure_class,failure_reason,evidence_pointer,claim_downgrade,artifact_registry_ids,severity,split_id,seed,control_level
ft_59b47bd582f7,run_context_utility,cus_014,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_014,abstain_until_more_power_or_replicates,gse277782_cosmx_pdac_metastasis/CP-6G/cp6g_gse277782_slides12_s9000,low,not_recorded,not_recorded,not_applicable
ft_78874eb1715d,run_context_utility,cus_023,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_023,abstain_until_more_power_or_replicates,gse277782_cosmx_pdac_metastasis/EC-XDATA-01A/cp6g_gse277782_slides12_s9000,low,not_recorded,not_recorded,not_applicable
ft_b4897fcc8fbc,run_context_utility,cus_019,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,expression_only,labels_not_replicated,"Candidate context signal did not survive held-out, bio-gate, conditioned, or validation replay checks.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_019,no_heldout_generalization_claim,gse277782_cosmx_pdac_metastasis/CP-6K/cp6g_gse277782_slides12_s9000,high,not_recorded,not_recorded,not_applicable
ft_97478ed4d7d8,run_context_utility,cus_023,gse277782_cosmx_pdac_metastasis,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,labels_not_replicated,"Candidate context signal did not survive held-out, bio-gate, conditioned, or validation replay checks.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_023,no_heldout_generalization_claim,gse277782_cosmx_pdac_metastasis/EC-XDATA-01A/cp6g_gse277782_slides12_s9000,high,not_recorded,not_recorded,not_applicable
ft_825e26fc004c,stratum_context_utility,cus_019:exploratory_localized_lead_found,gse277782_cosmx_pdac_metastasis,not_recorded,contextgate_evidence_gate,expression_only,insufficient_power,localized exploratory lead found without strict gate pass,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_019:exploratory_localized_lead_found,abstain_until_more_power_or_replicates,gse277782_cosmx_pdac_metastasis/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_e5007f675608,stratum_context_utility,cus_019:strict_conditioned_gate_passed,gse277782_cosmx_pdac_metastasis,not_recorded,contextgate_evidence_gate,expression_only,labels_not_replicated,conditioned/localized strict FDR-controlled gate passed,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_019:strict_conditioned_gate_passed,no_heldout_generalization_claim,gse277782_cosmx_pdac_metastasis/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_289096c35d84,stratum_context_utility,cus_023:bio_gate_replay_passed,gse277782_cosmx_pdac_metastasis,not_recorded,contextgate_evidence_gate,abstain_uncertain,labels_not_replicated,external bio-gate replay passed across variants,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_023:bio_gate_replay_passed,no_heldout_generalization_claim,gse277782_cosmx_pdac_metastasis/EC-XDATA-01A,medium,not_recorded,not_recorded,registered_gate
ft_1a4243b044e8,method_predictions,contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:14,gse310352_cosmx_pdac_1k,context_utility_detection,always_true_neighbor_mean,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:14,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_b23fbe8ad69d,method_predictions,contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:15,gse310352_cosmx_pdac_1k,context_utility_detection,always_true_neighbor_mean,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:always_true_neighbor_mean:15,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_e312760fc579,method_predictions,contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:14,gse310352_cosmx_pdac_1k,context_utility_detection,coordinate_shuffled_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:14,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_871a1c4fbedb,method_predictions,contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:15,gse310352_cosmx_pdac_1k,context_utility_detection,coordinate_shuffled_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:coordinate_shuffled_control_model:15,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_a27364b01af0,method_predictions,contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:14,gse310352_cosmx_pdac_1k,context_utility_detection,distant_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:14,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_623e6cc7b79e,method_predictions,contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:15,gse310352_cosmx_pdac_1k,context_utility_detection,distant_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:distant_neighbor_control_model:15,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_1c6d643c4c41,method_predictions,contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:14,gse310352_cosmx_pdac_1k,context_utility_detection,random_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:14,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_edf6c6397295,method_predictions,contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:15,gse310352_cosmx_pdac_1k,context_utility_detection,random_neighbor_control_model,full_context,fov_or_sample_artifact,Method used context on a row whose evidence label is expression-only.,results/reports/cp_q2_method_comparison/method_predictions.parquet#contextgate_bench_v0_cp_q2_smoke:random_neighbor_control_model:15,no_spatial_neighbor_claim_without_controls,cp_q2_method_comparison,medium,heldout_evaluation,0,not_applicable
ft_b9ccdcf2a01c,run_context_utility,cus_020,gse310352_cosmx_pdac_1k,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,fov_or_sample_artifact,"Only localized or exploratory evidence was found, so apparent context may track FOV/sample structure rather than reproducible neighborhoods.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_020,no_spatial_neighbor_claim_without_controls,gse310352_cosmx_pdac_1k/CP-6K/cp6j_gse310352_all8_s30000,medium,not_recorded,not_recorded,not_applicable
ft_a5c59ef019e9,run_context_utility,cus_015,gse310352_cosmx_pdac_1k,context_utility_detection,contextgate_evidence_gate,expression_only,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_015,abstain_until_more_power_or_replicates,gse310352_cosmx_pdac_1k/CP-6J/cp6j_gse310352_all8_s20000,low,not_recorded,not_recorded,not_applicable
ft_0dfcc9c893cc,run_context_utility,cus_016,gse310352_cosmx_pdac_1k,context_utility_detection,contextgate_evidence_gate,expression_only,insufficient_power,"Evidence is underpowered, metadata-only, FDR-uncontrolled, or preflight/borderline rather than strict replicated benchmark evidence.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_016,abstain_until_more_power_or_replicates,gse310352_cosmx_pdac_1k/CP-6J/cp6j_gse310352_all8_s30000,low,not_recorded,not_recorded,not_applicable
ft_400006736b65,run_context_utility,cus_020,gse310352_cosmx_pdac_1k,context_utility_detection,contextgate_evidence_gate,abstain_uncertain,labels_not_replicated,"Candidate context signal did not survive held-out, bio-gate, conditioned, or validation replay checks.",results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_020,no_heldout_generalization_claim,gse310352_cosmx_pdac_1k/CP-6K/cp6j_gse310352_all8_s30000,high,not_recorded,not_recorded,not_applicable
ft_83895a08480a,stratum_context_utility,cus_020:strict_conditioned_gate_passed,gse310352_cosmx_pdac_1k,not_recorded,contextgate_evidence_gate,abstain_uncertain,labels_not_replicated,conditioned/localized strict FDR-controlled gate passed,results/reports/cp_r1_context_utility_atlas/stratum_context_utility.parquet#cus_020:strict_conditioned_gate_passed,no_heldout_generalization_claim,gse310352_cosmx_pdac_1k/CP-6K,medium,not_recorded,not_recorded,registered_gate
ft_c34012644789,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,always_true_neighbor_mean,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_9a6727fd7f82,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,cellpack_packed_context_tiny,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_c47966799fcf,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,coordinate_shuffled_control_model,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_e237e2c635d6,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,distant_neighbor_control_model,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_199ba2e52305,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,ligand_receptor_pathway_heuristic,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_0a1ae38e72a7,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,lightweight_graphsage_aggregation,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_8fc8d84114f4,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,random_neighbor_control_model,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_b28205624c53,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,spatial_statistics_heuristic,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,fov_or_sample_confounded_signal
ft_d260461be71c,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,always_true_neighbor_mean,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,null_no_context_signal
ft_e2294d3fffe7,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,coordinate_shuffled_control_model,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,null_no_context_signal
ft_f2aa64d68d6d,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,distant_neighbor_control_model,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,null_no_context_signal
ft_13b64994041e,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,random_neighbor_control_model,context_allowed,fov_or_sample_artifact,Method treats confounded or null synthetic structure as neighbor-context signal.,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,no_spatial_neighbor_claim_without_controls,cp_q3_positive_null_ladder,medium,fov_holdout,0,null_no_context_signal
