router_label_id,context_utility_id,source_phase,source_dataset,run_label,evidence_class,label_family,route_label,training_route_label,candidate_route_from_cp_r1,label_usage,training_eligible,uses_heldout_biological_outcome,leakage_risk,leakage_reason,biological_claim_allowed,positive_control_only,context_utility_score,confidence_level,fdr_alpha,fdr_controlled,statistics_source,decision,claim_rationale,stratum_gate_count,sample_id_count,fov_id_count,cell_type_count,pathway_count,split_metadata_status,split_key,split_bucket,deterministic_split
rl_011,cus_011,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s10080,borderline_preflight,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,False,False,0.25,not_recorded,not_recorded,False,registry_metadata_only,freeze_cp6h_gse311609_validation,"Preflight decision suggested follow-up, but no strict gate is available.",0,0,0,0,0,run_level_only,gse277782_cosmx_pdac_metastasis|cp6g_gse277782_slides12_s10080|CP-6G|cus_011,98,validation_caution
rl_012,cus_012,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s12600,borderline_preflight,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,False,False,0.25,not_recorded,not_recorded,False,registry_metadata_only,freeze_cp6h_gse311609_validation,"Preflight decision suggested follow-up, but no strict gate is available.",0,0,0,0,0,run_level_only,gse277782_cosmx_pdac_metastasis|cp6g_gse277782_slides12_s12600|CP-6G|cus_012,94,validation_caution
rl_013,cus_013,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s16800,borderline_preflight,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,False,False,0.25,not_recorded,not_recorded,False,registry_metadata_only,freeze_cp6h_gse311609_validation,"Preflight decision suggested follow-up, but no strict gate is available.",0,0,0,0,0,run_level_only,gse277782_cosmx_pdac_metastasis|cp6g_gse277782_slides12_s16800|CP-6G|cus_013,10,validation_caution
rl_014,cus_014,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,borderline_preflight,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,abstain_uncertain,validation_only,False,False,medium,Borderline preflight rows tune caution but do not train targets.,False,False,0.25,not_recorded,not_recorded,False,registry_metadata_only,proceed_to_ec_xdata_on_gse277782,"Preflight decision suggested follow-up, but no strict gate is available.",0,0,0,0,0,run_level_only,gse277782_cosmx_pdac_metastasis|cp6g_gse277782_slides12_s9000|CP-6G|cus_014,78,validation_caution
rl_015,cus_015,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s20000,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,not_recorded,not_recorded,False,registry_metadata_only,try_cosmx_6k_bcc_or_conditioned_targets,Strict biological context gates were evaluated and did not pass.,0,0,0,0,0,run_level_only,gse310352_cosmx_pdac_1k|cp6j_gse310352_all8_s20000|CP-6J|cus_015,65,heldout_evaluation
rl_016,cus_016,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,not_recorded,not_recorded,False,registry_metadata_only,try_cosmx_6k_bcc_or_conditioned_targets,Strict biological context gates were evaluated and did not pass.,0,0,0,0,0,run_level_only,gse310352_cosmx_pdac_1k|cp6j_gse310352_all8_s30000|CP-6J|cus_016,64,heldout_evaluation
rl_017,cus_017,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,not_recorded,0.05,True,registry_command_metadata,stop_dataset_chasing_pivot_negative_benchmark,Strict biological context gates were evaluated and did not pass.,2,0,0,0,0,run_level_only,cosmx_6k_bcc_yerly_2024|cp6l_cosmx_6k_bcc_s12000|CP-6K|cus_017,0,heldout_evaluation
rl_018,cus_018,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,not_recorded,0.05,True,registry_command_metadata,move_to_cosmx_6k_bcc_conversion;stop_dataset_chasing_pivot_negative_benchmark,Strict biological context gates were evaluated and did not pass.,2,0,0,0,0,run_level_only,cosmx_6k_bcc_yerly_2024|cp6l_cosmx_6k_bcc_s20000|CP-6K|cus_018,87,heldout_evaluation
rl_019,cus_019,CP-6K,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,negative_context,biological_context_negative,expression_only,abstain_uncertain,expression_only,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.0,not_recorded,0.05,True,registry_command_metadata,move_to_cosmx_6k_bcc_conversion,Strict biological context gates were evaluated and did not pass.,2,0,0,0,0,run_level_only,gse277782_cosmx_pdac_metastasis|cp6g_gse277782_slides12_s9000|CP-6K|cus_019,66,heldout_evaluation
rl_020,cus_020,CP-6K,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,localized_exploratory,exploratory_localized,abstain_uncertain,abstain_uncertain,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.35,not_recorded,0.05,True,registry_command_metadata,localized_signal_lead_requires_replication;move_to_cosmx_6k_bcc_conversion,"A localized or partial lead exists, but strict replay did not pass.",2,0,0,0,0,run_level_only,gse310352_cosmx_pdac_1k|cp6j_gse310352_all8_s30000|CP-6K|cus_020,76,heldout_evaluation
rl_021,cus_021,CP-6L,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,coverage_only,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,metadata_only,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,False,False,0.1,not_recorded,not_recorded,False,registry_metadata_only,run_cp6k_conditioned_gate_then_kill_switch,Coverage or split feasibility is present without context-utility proof.,0,0,0,0,0,run_level_only,cosmx_6k_bcc_yerly_2024|cp6l_cosmx_6k_bcc_s12000|CP-6L|cus_021,82,validation_metadata
rl_022,cus_022,CP-6L,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,coverage_only,uncertain_or_metadata,abstain_uncertain,abstain_uncertain,metadata_only,train_allowed,True,False,low,Metadata or coverage evidence can train abstention behavior.,False,False,0.1,not_recorded,not_recorded,False,registry_metadata_only,run_cp6k_conditioned_gate_then_kill_switch,Coverage or split feasibility is present without context-utility proof.,0,0,0,0,0,run_level_only,cosmx_6k_bcc_yerly_2024|cp6l_cosmx_6k_bcc_s20000|CP-6L|cus_022,10,train_metadata
rl_023,cus_023,EC-XDATA-01A,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,localized_exploratory,exploratory_localized,abstain_uncertain,abstain_uncertain,abstain_uncertain,evaluation_only,False,True,blocked_high,Biological outcome rows are held out from router training.,False,False,0.35,0.95,not_recorded,False,registry_command_metadata,debug_gse277782_bio_gate_before_model_replay,"A localized or partial lead exists, but strict replay did not pass.",1,0,0,0,0,run_level_only,gse277782_cosmx_pdac_metastasis|cp6g_gse277782_slides12_s9000|EC-XDATA-01A|cus_023,16,heldout_evaluation
