Decision ID,Source table,Dataset,Task,Target,Route,Reason code,Failure class,Failed gate count,Failed gates,First failed gate,First non-residual failed gate,Mapped taxonomy gates,Evidence pointer,Residual utility pass,Effect-control evidence pass,Wrong-context separation pass,Held-out replication pass,Leakage audit pass,No unresolved downgrade pass
cg_eb32b08b5865,run context utility,CosMx PDAC metastasis,context utility detection,cp6g gse277782 slides12 s9000,Expression only,unreplicated context signal,labels not replicated,3,Residual utility; Held-out replication; No unresolved downgrade,Residual utility,Held-out replication,Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_019,0,1,1,0,1,0
cg_5d383d394acf,run context utility,Xenium breast 5K,context utility detection,cp3lr mu128 mg128 k5 steps12,Expression only,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_008,0,0,1,0,1,0
cg_d1d377a26abc,run context utility,Xenium breast 5K,context utility detection,cp3lr mu128 mg128 k5 steps12,Expression only,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_005,0,0,1,0,1,0
cg_dfaa5886dd7c,run context utility,Xenium breast 5K,context utility detection,cp3lr mu128 mg128 k5 steps12,Expression only,insufficient power or uncertainty,expression absorbs signal;insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_001,0,0,1,0,1,0
cg_07ec9918b2b2,run context utility,Xenium breast biomarkers,context utility detection,cp6a loader smoke,Expression only,panel or target coverage gap,expression absorbs signal;insufficient power;panel lacks downstream genes,3,Residual utility; Effect-control evidence; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_002,0,0,1,1,1,0
cg_08d5adcfc7c6,run context utility,Xenium breast biomarkers,context utility detection,cp6b loader top4 s1000,Expression only,panel or target coverage gap,expression absorbs signal;insufficient power;panel lacks downstream genes,3,Residual utility; Effect-control evidence; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_003,0,0,1,1,1,0
cg_b387a9e037ec,run context utility,Xenium breast biomarkers,context utility detection,cp6c loader all12 s500,Expression only,panel or target coverage gap,expression absorbs signal;insufficient power;panel lacks downstream genes,3,Residual utility; Effect-control evidence; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_004,0,0,1,1,1,0
cg_0427f90d88a7,positive control ladder,Xenium breast biomarkers,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed0:null_no_context_signal,0,1,1,1,1,1
cg_2041b3d728eb,positive control ladder,Xenium breast biomarkers,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed1:null_no_context_signal,0,1,1,1,1,1
cg_821b3625b9cf,positive control ladder,Xenium breast biomarkers,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed2:null_no_context_signal,0,1,1,1,1,1
cg_a5afa2ca1c30,positive control ladder,Xenium breast biomarkers,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed1:null_no_context_signal,0,1,1,1,1,1
cg_cb6ffe0f35ae,positive control ladder,Xenium breast biomarkers,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed0:null_no_context_signal,0,1,1,1,1,1
cg_ee6c862e75db,positive control ladder,Xenium breast biomarkers,positive null control ladder,null no context signal,Expression only,synthetic null rejected,not applicable,1,Residual utility,Residual utility,none,Residual utility,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed2:null_no_context_signal,0,1,1,1,1,1
cg_9b8e2b2825cd,run context utility,CosMx BCC 6K,context utility detection,cp6l cosmx 6k bcc s12000,Abstain,uncertain default abstention,not applicable,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_021,0,0,1,0,1,0
cg_f87a9fd44173,run context utility,CosMx BCC 6K,context utility detection,cp6l cosmx 6k bcc s20000,Abstain,uncertain default abstention,not applicable,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_022,0,0,1,0,1,0
cg_2a0ee2501aa2,run context utility,CosMx NSCLC,context utility detection,cp6e lung9 rep1 s5000,Abstain,uncertain default abstention,not applicable,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_009,0,0,1,0,1,0
cg_3015f465426e,run context utility,CosMx NSCLC,context utility detection,cp6f lung9 rep1 fovstrat s8000,Abstain,uncertain default abstention,not applicable,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_010,0,0,1,0,1,0
cg_07d6a0260770,run context utility,CosMx PDAC 1K,context utility detection,cp6j gse310352 all8 s30000,Abstain,artifact or confound abstention,fov or sample artifact;labels not replicated,4,Residual utility; Wrong-context separation; Held-out replication; No unresolved downgrade,Residual utility,Wrong-context separation,Wrong-context separation; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_020,0,1,0,0,1,0
cg_4c23f8c2a0fe,positive control ladder,CosMx PDAC 1K,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed1:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_83805a6c3db1,positive control ladder,CosMx PDAC 1K,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_8af524fab80b,positive control ladder,CosMx PDAC 1K,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_c459a636b72b,positive control ladder,CosMx PDAC 1K,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed0:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_ca965c674aeb,positive control ladder,CosMx PDAC 1K,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_d8b6ccb67b0b,positive control ladder,CosMx PDAC 1K,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed2:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_62363dea3efc,positive control ladder,CosMx PDAC 1K,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_65242d623c8d,positive control ladder,CosMx PDAC 1K,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed2:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_900ad3841ec5,positive control ladder,CosMx PDAC 1K,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_94a3c388d34a,positive control ladder,CosMx PDAC 1K,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed0:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_b7aaa09b8374,positive control ladder,CosMx PDAC 1K,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_ee33ca1d3283,positive control ladder,CosMx PDAC 1K,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed1:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_18d1cf9f1762,run context utility,CosMx PDAC metastasis,context utility detection,cp6g gse277782 slides12 s9000,Abstain,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_014,0,0,1,0,1,0
cg_5b8b8105c197,run context utility,CosMx PDAC metastasis,context utility detection,cp6g gse277782 slides12 s16800,Abstain,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_013,0,0,1,0,1,0
cg_6eee82b6c32b,run context utility,CosMx PDAC metastasis,context utility detection,cp6g gse277782 slides12 s10080,Abstain,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_011,0,0,1,0,1,0
cg_dec045b6218f,run context utility,CosMx PDAC metastasis,context utility detection,cp6g gse277782 slides12 s12600,Abstain,insufficient power or uncertainty,insufficient power,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_012,0,0,1,0,1,0
cg_6d64cd04bb8f,run context utility,CosMx PDAC metastasis,context utility detection,cp6g gse277782 slides12 s9000,Abstain,unreplicated context signal,insufficient power;labels not replicated,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_023,0,0,1,0,1,0
cg_d9f99d8a0feb,failure taxonomy,Discovery index,dataset access,dataset access,Abstain,access or schema blocker,access or schema blocker,5,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,SCAR_or_scpanstroma_index_pages,0,0,0,0,1,0
cg_59890c246323,failure taxonomy,HTAPP MBC MERFISH,dataset access,dataset access,Abstain,access or schema blocker,access or schema blocker,5,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,results/reports/cp6l_final_dataset_workflow_source_access.md,0,0,0,0,1,0
cg_18107f87a9cf,failure taxonomy,Private/login sources,dataset access,dataset access,Abstain,access or schema blocker,access or schema blocker,5,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,CP-Q0.5_rejection_policy,0,0,0,0,1,0
cg_b276400b005a,failure taxonomy,Spot-level Visium,dataset access,dataset access,Abstain,access or schema blocker,access or schema blocker,5,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,CP-Q0.5_rejection_policy,0,0,0,0,1,0
cg_778284285646,run context utility,Xenium breast 5K,context utility detection,cp3lr mu128 mg128 k5 steps12,Abstain,uncertain default abstention,not applicable,4,Residual utility; Effect-control evidence; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Effect-control evidence; Held-out replication; No unresolved downgrade,results/reports/cp_r1_context_utility_atlas/run_context_utility.parquet#cus_006,0,0,1,0,1,0
cg_6ea572f322cd,positive control ladder,Xenium breast biomarkers,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed1:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_6fc7f03f1609,positive control ladder,Xenium breast biomarkers,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed1:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_b7898e10a5ed,positive control ladder,Xenium breast biomarkers,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed2:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_b9ad863cf12d,positive control ladder,Xenium breast biomarkers,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed0:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_cb67382bd2d6,positive control ladder,Xenium breast biomarkers,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed0:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_f1cec60b8603,positive control ladder,Xenium breast biomarkers,positive null control ladder,fov or sample confounded signal,Abstain,synthetic confound abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Wrong-context separation; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed2:fov_or_sample_confounded_signal,0,1,1,1,1,0
cg_016f84a990bb,positive control ladder,Xenium breast biomarkers,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed0:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_500b81748876,positive control ladder,Xenium breast biomarkers,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed2:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_94154b4909a7,positive control ladder,Xenium breast biomarkers,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed0:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_a80a0287fd02,positive control ladder,Xenium breast biomarkers,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:fov_holdout:seed1:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_d7a4ae1e2f6a,positive control ladder,Xenium breast biomarkers,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed2:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_f240375ce40c,positive control ladder,Xenium breast biomarkers,positive null control ladder,missing panel or target dropout signal,Abstain,synthetic missing panel abstention,not applicable,2,Residual utility; No unresolved downgrade,Residual utility,No unresolved downgrade,Residual utility; No unresolved downgrade,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:xenium_breast_biomarkers_v1:unit_hash_split:seed1:missing_panel_or_target_dropout_signal,0,1,1,1,1,0
cg_cb7a13285640,failure taxonomy,scRNA+Visium claim,dataset access,dataset access,Abstain,access or schema blocker,access or schema blocker,5,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,Residual utility,Effect-control evidence,Residual utility; Effect-control evidence; Wrong-context separation; Held-out replication; No unresolved downgrade,CP-Q0.5_rejection_policy,0,0,0,0,1,0
