context_utility_id,phase,source_dataset,run_label,sample_id,fov_id,cell_type,pathway,stratum_kind,gate_name,gate_passed,gate_description,evidence_class,context_utility_score,route_recommendation
cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,proof_gate_passed,False,learned true-neighbor context beats center-only and wrong-context references,negative_context,0.0,expression_only
cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,masked_gene_gate_passed,False,masked-gene proof gate passed,negative_context,0.0,expression_only
cus_005,CP-4.7,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,ligand_receptor_gate_passed,False,ligand-receptor proof gate passed,negative_context,0.0,expression_only
cus_006,CP-4.7R,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,upstream_cp47_proof_gate_passed,False,upstream_cp47_proof_gate_passed,insufficient_evidence,0.05,metadata_only
cus_007,CP-4.8,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,positive_control_gate_passed,True,injected or synthetic positive-control gate passed,positive_control_only,0.7,abstain_uncertain
cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,proof_gate_passed,False,learned true-neighbor context beats center-only and wrong-context references,negative_context,0.0,expression_only
cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,masked_gene_gate_passed,False,masked-gene proof gate passed,negative_context,0.0,expression_only
cus_008,CP-4.9,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,ligand_receptor_gate_passed,False,ligand-receptor proof gate passed,negative_context,0.0,expression_only
cus_017,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,strict_conditioned_gate_passed,False,conditioned/localized strict FDR-controlled gate passed,negative_context,0.0,expression_only
cus_017,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,exploratory_localized_lead_found,False,localized exploratory lead found without strict gate pass,negative_context,0.0,expression_only
cus_018,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,strict_conditioned_gate_passed,False,conditioned/localized strict FDR-controlled gate passed,negative_context,0.0,expression_only
cus_018,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,exploratory_localized_lead_found,False,localized exploratory lead found without strict gate pass,negative_context,0.0,expression_only
cus_019,CP-6K,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,strict_conditioned_gate_passed,False,conditioned/localized strict FDR-controlled gate passed,negative_context,0.0,expression_only
cus_019,CP-6K,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,exploratory_localized_lead_found,False,localized exploratory lead found without strict gate pass,negative_context,0.0,expression_only
cus_020,CP-6K,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,strict_conditioned_gate_passed,False,conditioned/localized strict FDR-controlled gate passed,localized_exploratory,0.35,abstain_uncertain
cus_020,CP-6K,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,exploratory_localized_lead_found,True,localized exploratory lead found without strict gate pass,localized_exploratory,0.35,abstain_uncertain
cus_023,EC-XDATA-01A,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,bio_gate_replay_passed,False,external bio-gate replay passed across variants,localized_exploratory,0.35,abstain_uncertain
