context_utility_id,phase,source_dataset,run_label,evidence_class,route_recommendation,context_utility_score,claim_rationale,decision,artifact_count,available_pair_count,available_module_target_count,row_or_unit_count,gene_count,positive_run_count,confidence_level,fdr_alpha,fdr_controlled,statistics_source,artifact_families,proof_gate_passed,masked_gene_gate_passed,ligand_receptor_gate_passed,raw_receptor_signal_gate_passed,residual_receptor_gate_passed,residual_module_gate_passed,contrastive_context_gate_passed,residual_signal_gate_passed,bio_gate_replay_passed,strict_conditioned_gate_passed,target_coverage_gate_passed,spatial_label_gate_passed,heldout_gate_passed,exploratory_localized_lead_found,positive_control_gate_passed,upstream_cp47_proof_gate_passed
cus_011,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s10080,borderline_preflight,abstain_uncertain,0.25,"Preflight decision suggested follow-up, but no strict gate is available.",freeze_cp6h_gse311609_validation,35,16.0,,10080.0,1010.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6g_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_012,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s12600,borderline_preflight,abstain_uncertain,0.25,"Preflight decision suggested follow-up, but no strict gate is available.",freeze_cp6h_gse311609_validation,35,16.0,,12600.0,1010.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6g_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_013,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s16800,borderline_preflight,abstain_uncertain,0.25,"Preflight decision suggested follow-up, but no strict gate is available.",freeze_cp6h_gse311609_validation,35,16.0,,16800.0,1010.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6g_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_014,CP-6G,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,borderline_preflight,abstain_uncertain,0.25,"Preflight decision suggested follow-up, but no strict gate is available.",proceed_to_ec_xdata_on_gse277782,35,16.0,,8400.0,1010.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6g_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_015,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s20000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,try_cosmx_6k_bcc_or_conditioned_targets,35,16.0,,12914.0,970.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6j_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_016,CP-6J,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,try_cosmx_6k_bcc_or_conditioned_targets,35,16.0,,30000.0,970.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6j_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_017,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,stop_dataset_chasing_pivot_negative_benchmark,7,,,12000.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,False,,
cus_018,CP-6K,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,move_to_cosmx_6k_bcc_conversion;stop_dataset_chasing_pivot_negative_benchmark,14,,,20000.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,False,,
cus_019,CP-6K,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,negative_context,expression_only,0.0,Strict biological context gates were evaluated and did not pass.,move_to_cosmx_6k_bcc_conversion,7,,,8400.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,False,,
cus_020,CP-6K,gse310352_cosmx_pdac_1k,cp6j_gse310352_all8_s30000,localized_exploratory,abstain_uncertain,0.35,"A localized or partial lead exists, but strict replay did not pass.",localized_signal_lead_requires_replication;move_to_cosmx_6k_bcc_conversion,14,,,30000.0,,,,0.05,True,registry_command_metadata,localized_comparisons;localized_group_summary;predeclared_summary;report;strict_comparisons;strict_group_summary;summary,,,,,,,,,,False,,,,True,,
cus_021,CP-6L,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s12000,coverage_only,metadata_only,0.1,Coverage or split feasibility is present without context-utility proof.,run_cp6k_conditioned_gate_then_kill_switch,36,16.0,,12000.0,6195.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6l_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_access_report;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_022,CP-6L,cosmx_6k_bcc_yerly_2024,cp6l_cosmx_6k_bcc_s20000,coverage_only,metadata_only,0.1,Coverage or split feasibility is present without context-utility proof.,run_cp6k_conditioned_gate_then_kill_switch,36,16.0,,20000.0,6195.0,,,,False,registry_metadata_only,control_graph_diagnostics;control_graph_summary;control_neighbors;cp410_claim_audit;cp410_contrastive_downstream_associations;cp410_contrastive_metrics;cp410_contrastive_scores;cp410_module_targets;cp410_pair_availability;cp410_report;cp410_residual_comparisons;cp410_residual_metrics;cp410_residual_unit_scores;cp410_selected_pairs;cp410_signal_associations;cp410_signal_comparisons;cp410_summary;cp410_variant_signal_table;cp6l_modal_summary;direct_label_summary;expression_matrix;expression_metadata;gene_vocabulary;label_summary;loader_summary;marker_label_summary;marker_scores;pair_availability;source_access_report;source_inventory;spatial_graph_diagnostics;spatial_graph_summary;spatial_neighbors;split_assignments;split_summary;unit_table,,,,,,,,,,,,,,,,
cus_023,EC-XDATA-01A,gse277782_cosmx_pdac_metastasis,cp6g_gse277782_slides12_s9000,localized_exploratory,abstain_uncertain,0.35,"A localized or partial lead exists, but strict replay did not pass.",debug_gse277782_bio_gate_before_model_replay,49,,,8400.0,1010.0,1.0,0.95,,False,registry_command_metadata,bio_gate_report;bio_gate_summary;leakage_audit;primary_test_seed608_cp410_claim_audit;primary_test_seed608_cp410_contrastive_downstream_associations;primary_test_seed608_cp410_contrastive_metrics;primary_test_seed608_cp410_contrastive_scores;primary_test_seed608_cp410_module_targets;primary_test_seed608_cp410_pair_availability;primary_test_seed608_cp410_report;primary_test_seed608_cp410_residual_comparisons;primary_test_seed608_cp410_residual_metrics;primary_test_seed608_cp410_residual_unit_scores;primary_test_seed608_cp410_selected_pairs;primary_test_seed608_cp410_signal_associations;primary_test_seed608_cp410_signal_comparisons;primary_test_seed608_cp410_summary;primary_test_seed608_cp410_variant_signal_table;run_summaries;test_seed701_cp410_claim_audit;test_seed701_cp410_contrastive_downstream_associations;test_seed701_cp410_contrastive_metrics;test_seed701_cp410_contrastive_scores;test_seed701_cp410_module_targets;test_seed701_cp410_pair_availability;test_seed701_cp410_report;test_seed701_cp410_residual_comparisons;test_seed701_cp410_residual_metrics;test_seed701_cp410_residual_unit_scores;test_seed701_cp410_selected_pairs;test_seed701_cp410_signal_associations;test_seed701_cp410_signal_comparisons;test_seed701_cp410_summary;test_seed701_cp410_variant_signal_table;validation_seed702_cp410_claim_audit;validation_seed702_cp410_contrastive_downstream_associations;validation_seed702_cp410_contrastive_metrics;validation_seed702_cp410_contrastive_scores;validation_seed702_cp410_module_targets;validation_seed702_cp410_pair_availability;validation_seed702_cp410_report;validation_seed702_cp410_residual_comparisons;validation_seed702_cp410_residual_metrics;validation_seed702_cp410_residual_unit_scores;validation_seed702_cp410_selected_pairs;validation_seed702_cp410_signal_associations;validation_seed702_cp410_signal_comparisons;validation_seed702_cp410_summary;validation_seed702_cp410_variant_signal_table,,,,,,,,,False,,,,,,,
